seller_id,purchase_date,item_gmv_brl,distinct_orders,month
0432ead42b6c8a0bdf68154add917fdf,2017-12-01,710.20000,9,2017-12
0432ead42b6c8a0bdf68154add917fdf,2018-01-01,205.70000,3,2018-01
0432ead42b6c8a0bdf68154add917fdf,2018-02-01,159.80000,2,2018-02
0432ead42b6c8a0bdf68154add917fdf,2018-03-01,285.80000,2,2018-03
0432ead42b6c8a0bdf68154add917fdf,2018-05-01,35.90000,1,2018-05
0432ead42b6c8a0bdf68154add917fdf,2018-07-01,35.90000,1,2018-07
044668ccd5316b12a7cf0d54a156e3e9,2018-08-01,137.80000,3,2018-08
04843805947f0fc584fc1969b6e50fe7,2018-08-01,1400.00000,1,2018-08
048c2757535328e0d7dac690ad3c0aae,2017-03-01,914.90000,5,2017-03
048c2757535328e0d7dac690ad3c0aae,2017-04-01,515.50000,3,2017-04
048c2757535328e0d7dac690ad3c0aae,2017-05-01,199.70000,1,2017-05
048c2757535328e0d7dac690ad3c0aae,2017-07-01,515.50000,3,2017-07
048c2757535328e0d7dac690ad3c0aae,2017-08-01,199.70000,1,2017-08
048c2757535328e0d7dac690ad3c0aae,2017-09-01,307.80000,2,2017-09
048c2757535328e0d7dac690ad3c0aae,2017-10-01,798.80000,4,2017-10
048c2757535328e0d7dac690ad3c0aae,2017-11-01,557.30000,3,2017-11
048c2757535328e0d7dac690ad3c0aae,2017-12-01,357.60000,2,2017-12
048c2757535328e0d7dac690ad3c0aae,2018-01-01,98.70000,1,2018-01
048c2757535328e0d7dac690ad3c0aae,2018-02-01,515.50000,3,2018-02
048c2757535328e0d7dac690ad3c0aae,2018-03-01,596.80000,4,2018-03
048c2757535328e0d7dac690ad3c0aae,2018-04-01,772.10000,5,2018-04
048c2757535328e0d7dac690ad3c0aae,2018-05-01,922.30000,4,2018-05
048c2757535328e0d7dac690ad3c0aae,2018-06-01,721.09000,4,2018-06
048c2757535328e0d7dac690ad3c0aae,2018-07-01,630.39000,3,2018-07
048c2757535328e0d7dac690ad3c0aae,2018-08-01,441.40000,2,2018-08
04aa0a1c5ce6b222003403a3e11c3cc0,2017-03-01,338.00000,1,2017-03
04aa0a1c5ce6b222003403a3e11c3cc0,2017-04-01,189.00000,1,2017-04
04aa0a1c5ce6b222003403a3e11c3cc0,2017-05-01,1785.00000,2,2017-05
04aa0a1c5ce6b222003403a3e11c3cc0,2017-07-01,349.00000,1,2017-07
04aa0a1c5ce6b222003403a3e11c3cc0,2017-08-01,338.00000,1,2017-08
04aa0a1c5ce6b222003403a3e11c3cc0,2017-09-01,2410.00000,4,2017-09
04aa0a1c5ce6b222003403a3e11c3cc0,2018-01-01,109.00000,1,2018-01
04aba03279157f6d4e0fe8ccaf21963c,2017-05-01,286.00000,2,2017-05
04aba03279157f6d4e0fe8ccaf21963c,2017-08-01,114.00000,1,2017-08
04aba03279157f6d4e0fe8ccaf21963c,2017-10-01,216.00000,2,2017-10
04aba03279157f6d4e0fe8ccaf21963c,2017-11-01,298.00000,1,2017-11
04aba03279157f6d4e0fe8ccaf21963c,2017-12-01,540.00000,3,2017-12
04aba03279157f6d4e0fe8ccaf21963c,2018-01-01,118.00000,1,2018-01
04aba03279157f6d4e0fe8ccaf21963c,2018-02-01,130.00000,1,2018-02
04aba03279157f6d4e0fe8ccaf21963c,2018-03-01,296.00000,2,2018-03
04aba03279157f6d4e0fe8ccaf21963c,2018-04-01,198.00000,1,2018-04
04aba03279157f6d4e0fe8ccaf21963c,2018-08-01,220.00000,1,2018-08
04e38a233f726ef161074ab1c9b0399a,2017-09-01,280.60000,4,2017-09
04e38a233f726ef161074ab1c9b0399a,2017-10-01,19.90000,1,2017-10
04e38a233f726ef161074ab1c9b0399a,2017-11-01,271.00000,7,2017-11
04e38a233f726ef161074ab1c9b0399a,2018-01-01,79.70000,2,2018-01
04e38a233f726ef161074ab1c9b0399a,2018-03-01,167.70000,2,2018-03
04e38a233f726ef161074ab1c9b0399a,2018-04-01,134.80000,2,2018-04
04e38a233f726ef161074ab1c9b0399a,2018-05-01,37.90000,1,2018-05
04ee0ec01589969663ba5967c0e0bdc0,2018-08-01,289.49000,1,2018-08
04fdea0c111866e6cf812f1570d6b5bd,2017-10-01,95.00000,1,2017-10
04fdea0c111866e6cf812f1570d6b5bd,2017-11-01,95.00000,1,2017-11
04fdea0c111866e6cf812f1570d6b5bd,2017-12-01,295.00000,2,2017-12
04fdea0c111866e6cf812f1570d6b5bd,2018-01-01,380.00000,4,2018-01
0509040ea3fe50071181bbc359eb7738,2017-05-01,161.89000,5,2017-05
0509040ea3fe50071181bbc359eb7738,2017-06-01,245.69000,3,2017-06
0509040ea3fe50071181bbc359eb7738,2017-07-01,28.99000,1,2017-07
0509040ea3fe50071181bbc359eb7738,2017-08-01,194.10000,5,2017-08
0509040ea3fe50071181bbc359eb7738,2017-09-01,260.38000,5,2017-09
0509040ea3fe50071181bbc359eb7738,2017-10-01,34.90000,1,2017-10
0509040ea3fe50071181bbc359eb7738,2017-11-01,577.25000,16,2017-11
0509040ea3fe50071181bbc359eb7738,2017-12-01,706.05000,18,2017-12
